CODE,Institute Name,Managing Authority,Latitude,Longitude,Institure Type,Description,Gender,Faculty,Tier
KQ2205,GOVT. COLLEGE OF COMMERCE AND ECONOMICS NO 2,Government,24.8475794,67.0205448,College,https://maps.app.goo.gl/zaY2oNNBhUPTbCWu6,Male,COMMERCE,T3 and Below
KQ2176,GOVT. ISLAMIA ARTS AND COMMERCE COLLEGE ( MORNING),Government,24.9631875,67.0737532,College,https://maps.app.goo.gl/Zo7XVPTe8KmrAzF38,Male,"HUMANITIES, COMMERCE",T3 and Below
KQ2142,GOVT. DEGREE ARTS AND COMMERCE COLLEGE LANDHI EVENING,Government,24.8252746,67.172056,College,https://maps.app.goo.gl/fohtjv2Qm38y9M6d6,Male,"HUMANITIES, COMMERCE",T3 and Below
KQ2188,GOVT. ISLAMIA ARTS AND COMMERCE COLLEGE No.2,Government,24.9631875,67.0737532,College,https://maps.app.goo.gl/3s8c3bHdTbBeHkML8,Male,"HUMANITIES, COMMERCE",T3 and Below
KQ2216,GOVT ISLAMIA COLLEGE FOR WOMEN LINES AREA,Government,24.8641558,67.0304031,College,https://maps.app.goo.gl/pKrv2B5DUmxt2HHK6,Female,"HUMANITIES , HOME ECONOMICS, COMMERCE",T2
KQ2219,H.I OSMANIA GOVT.COLLEGE FOR WOMEN,Government,24.9007685,66.8722629,College,https://maps.app.goo.gl/SbWpdEbdYo7gRmwu6,Female,"HUMANITIES, COMMERCE",T2
KQ2254,GOVT. GIRLS DEGREE COLLEGE (KMC PARK) LIAQUATABAD KARACHI,Government,24.9017467,67.0419696,College,https://maps.app.goo.gl/P7tDbWAhdq9jceba9,Female,"HUMANITIES, COMMERCE",T3 and Below
KQ2170,PREMIER GOVT. GIRLS COLLEGE BLOCK H,Government,24.9359257,67.0484493,College,https://maps.app.goo.gl/f3P9K9P17ERf6FVY8,Female,COMMERCE,T3 and Below
KQ2235,GOVT. DEGREE GIRLS COLLEGE SECTOR 11-C,Government,24.9399516,66.9215595,College,https://maps.app.goo.gl/jJegZYtruMK1tk9H7,Female,"HUMANITIES, COMMERCE",T3 and Below
KQ2220,RAUNAQ E ISLAM GOVT COLLEGE FOR WOMEN,Government,24.8546141,66.9943607,College,https://maps.app.goo.gl/2hMBHpwo9Q5kcn7H8,Female,"HUMANITIES, COMMERCE",T3 and Below
KQ2221,HRH AGHA KHAN GOVT. GIRLS COLLEGE ARTS COMMERCE PIB COLONY KARACHI,Government,24.8924757,67.0477276,College,https://maps.app.goo.gl/Wkcdhfis6ZnX6rLXA,Female,"HUMANITIES, COMMERCE",T3 and Below
